City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
176,Wageningen,NL,51.9667,5.6667,48.94,95,100,6.91,mist
177,Thompson,CA,55.7435,-97.8558,-7.44,71,75,11.5,light snow
178,Olinda,BR,-8.0089,-34.8553,83.93,65,40,12.66,scattered clouds
179,Broken Hill,AU,-31.95,141.4333,69.6,47,100,15.17,overcast clouds
180,Torbay,CA,47.6666,-52.7314,32.58,68,75,20.71,broken clouds
181,Victoria,HK,22.2855,114.1577,64.26,40,3,8.99,clear sky
182,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,69,40,12.66,scattered clouds
183,Mar Del Plata,AR,-38.0023,-57.5575,86.83,80,40,31.0,scattered clouds
184,Leningradskiy,RU,69.3833,178.4167,5.27,70,1,3.42,clear sky
185,Amahai,ID,-3.3333,128.9167,78.87,78,81,3.47,broken clouds
186,Cape Town,ZA,-33.9258,18.4232,71.89,71,0,16.11,clear sky
187,Dunedin,NZ,-45.8742,170.5036,56.8,90,99,4.0,overcast clouds
188,Savonlinna,FI,61.8699,28.88,35.65,93,100,11.5,overcast clouds
189,Clyde River,CA,70.4692,-68.5914,-16.37,76,20,9.22,few clouds
190,Sawakin,SD,19.1059,37.3321,80.42,75,17,4.34,few clouds
191,Shimoda,JP,34.6667,138.95,39.11,65,34,28.05,scattered clouds
192,Pacific Grove,US,36.6177,-121.9166,57.67,82,100,9.13,overcast clouds
193,Wick,GB,58.4333,-3.0833,41.05,87,75,23.02,broken clouds
194,Buin,CL,-33.7333,-70.75,87.42,19,2,11.07,clear sky
195,Outram,MY,1.2829,103.8379,77.18,88,75,8.05,broken clouds
196,Norman Wells,CA,65.282,-126.8329,-23.76,69,75,5.75,light snow
197,Severo-Kurilsk,RU,50.6789,156.125,31.66,80,100,7.87,overcast clouds
198,La Ronge,CA,55.1001,-105.2842,-14.55,70,75,9.22,broken clouds
199,Escanaba,US,45.7453,-87.0646,31.96,93,100,4.0,mist
200,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,75,9.22,broken clouds
201,Bathsheba,BB,13.2167,-59.5167,84.06,77,9,19.37,clear sky
202,Divisoria,PH,17.5208,121.7756,66.34,93,100,11.27,overcast clouds
203,Eyl,SO,7.9803,49.8164,76.68,84,9,16.82,clear sky
204,Surt,LY,31.2089,16.5887,64.44,66,86,16.93,overcast clouds
205,Porto Murtinho,BR,-21.6989,-57.8825,101.59,23,0,0.22,clear sky
